fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 182008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1199	TRUE	113111	0.00514331186549314	0.530798533983137	938	249	9377	26610000	24
20220928 182045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	113111	0.0392455749946343	0.565474380601838	420	37	10140	26280000	25
20220928 182417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	286	TRUE	113111	0.00875921158401082	0.523945624999588	924	75	9372	26620000	26
20220928 182508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	113111	0.0491415915384956	0.358327804952171	898	177	9396	26970000	27
20220928 182616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	337	TRUE	113111	0.0450385146423294	0.560600704564999	4530	161	9381	26040000	28
20220928 182656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	113111	0.0504143024620496	0.653240487054763	2	84	9276	25290000	29
20220928 182745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	113111	0.0438434898092116	0.463417910602576	1200	121	8582	26040000	30
20220928 182837	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	113111	0.0424200077866697	0.403495151850208	876	448	9531	26700000	31
20220928 182923	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	113111	0.0396304667254813	0.324702863475766	3002	322	9441	26560000	32
20220928 183015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	113111	0.0422363877152035	0.348476822267432	563	154	9520	26800000	33
20220928 183045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	113111	0.0810201991598746	0.347654854956178	497	525	9031	26100000	34
20220928 183705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	680	TRUE	113111	0.00507952274185454	0.577729208011704	6	120	8278	27050000	35
20220928 183827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	210	TRUE	113111	0.0420848962855017	0.544222374964303	18	161	8669	26270000	36
20220928 184019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	113111	0.0243442123476985	0.573275701849768	364	116	9403	26320000	37
20220928 184640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	553	TRUE	113111	0.00500541482964308	0.643719370989261	401	133	9190	26740000	38
20220928 185638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1606	TRUE	113111	0.00611884236526145	0.768565603869844	1	251	10276	26170000	39
20220928 185738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	113111	0.0429094783590169	0.494548075793023	540	120	11495	25970000	40
20220928 185823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	208	TRUE	113111	0.0512928806392314	0.227106086036964	2977	608	9951	26340000	41
20220928 190142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	944	TRUE	113111	0.0122545955610964	0.289349628687984	3508	508	9766	26150000	42
20220928 190231	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	113111	0.0464331219556992	0.515389202756528	677	242	9153	26420000	43
20220928 190733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	321	TRUE	113111	0.00501311246494655	0.48671537365512	62	59	8585	26990000	44
20220928 190820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	113111	0.0476553555791655	0.31533818806713	1863	89	9504	26600000	45
