"Feature"	"Gain"	"Cover"	"Frequency"
"Master_mpagado"	0.000899163195720424	0.00237737969185321	0.00272073589427998
"matm_other"	0.000846313540654675	0.000616728083482045	0.00505279523223424
"ccajas_otras"	0.000734198019233303	0.00347929310504939	0.00233205933795427
"ctarjeta_visa_debitos_automaticos"	0.000722178703413343	0.00237728628192855	0.00421066269352854
"tpaquete7"	0.000681372433108231	0.000824333413663243	0.00265595646822569
"mforex_sell"	0.000663295154351517	0.000745063069532005	0.00356286843298568
"Master_mconsumosdolares"	0.000651730084071682	0.0017145513442842	0.00187860335557427
"ctarjeta_master_debitos_automaticos"	0.000648045641833429	0.000796644076170244	0.00272073589427998
"catm_trx_other"	0.000636611892139645	0.0011276104680552	0.00336853015482283
"ccuenta_debitos_automaticos"	0.0005783144663554	0.00239681234730128	0.0034980890069314
"Master_mpagosdolares"	0.000491001542579859	0.00040484986581494	0.000971691390814277
"mcheques_depositados"	0.000484136155827639	0.00184190560319615	0.00336853015482283
"Visa_status"	0.000450590766199263	0.00135310873134552	0.00200816220768284
"ccaja_seguridad"	0.000406973444197662	0.00842463617229508	0.00136036794713999
"mpagodeservicios"	0.000380272185995423	0.000635010340216921	0.00246161819006284
"minversion2"	0.000323253784833021	0.00608289745337766	0.00181382392951998
"ccajas_depositos"	0.000295828201947304	0.000566571038698563	0.00155470622530284
"cinversion2"	0.00028491661454986	0.00699260098715151	0.00155470622530284
"cseguro_vida"	0.00027299661096776	0.000225648185448692	0.00148992679924856
"mcheques_emitidos"	0.000272275684907849	0.000273685607212039	0.00194338278162855
"ccheques_emitidos"	0.000269498034438062	0.000464905896343447	0.00148992679924856
"minversion1_dolares"	0.000268579403202249	0.00933401847457886	0.00200816220768284
"cseguro_accidentes_personales"	0.00026684721948552	0.00450809059335821	0.00148992679924856
"minversion1_pesos"	0.000257433422208913	0.00755974658937179	0.0017490445034657
"ctransferencias_emitidas"	0.000241390080369629	0.000910933739398749	0.00136036794713999
"Master_msaldodolares"	0.000239965722803911	0.00242762159169201	0.00123080909503142
"cforex"	0.000212112247639503	0.000141172222593359	0.00136036794713999
"cforex_buy"	0.000211224566164213	0.00755813673251845	0.00155470622530284
"mplazo_fijo_dolares"	0.000196125999890401	0.000630176068332332	0.00142514737319427
"mforex_buy"	0.000195583334422374	0.000108831887803918	0.000647794260542852
"cseguro_vivienda"	0.00019261905216085	0.000186115382799266	0.00148992679924856
"mcheques_emitidos_rechazados"	0.000184924596261097	0.000356078941076805	0.000842132538705707
"ccheques_depositados"	0.000170918743179448	0.000106207623831494	0.00123080909503142
"ccheques_emitidos_rechazados"	0.000162739231266899	0.0025299820676612	0.000712573686597137
"Master_madelantodolares"	0.000160280842480701	0.000155262988341237	0.00012955885210857
"cforex_sell"	0.000157206188525937	0.000126950927651052	0.000971691390814277
"mtarjeta_visa_descuentos"	0.000148846967427851	0.000695492380117163	0.000842132538705707
"ctarjeta_master_descuentos"	0.000120566644643637	0.00201065294421622	0.000712573686597137
"cinversion1"	0.000109604962370532	0.00203608880581232	0.000518235408434281
"cplazo_fijo"	9.74735407235847e-05	9.56731114868631e-05	0.000712573686597137
"cpagodeservicios"	9.67496199748747e-05	4.8672577459272e-05	0.000906911964759992
"ccajeros_propios_descuentos"	7.73708982166774e-05	7.97402116591207e-05	0.000647794260542852
"ctarjeta_visa_descuentos"	7.46492971781876e-05	7.7580545492138e-05	0.000453455982379996
"mcheques_depositados_rechazados"	6.74503717376369e-05	0.000599762582987077	0.000388676556325711
"tpaquete4"	6.47419821518274e-05	0.000345656220065272	0.000259117704217141
"mtarjeta_master_descuentos"	4.5148652636992e-05	9.6097887724279e-05	0.000388676556325711
"mprestamos_hipotecarios"	3.71682805652121e-05	0.00140705049656641	0.000323897130271426
"mprestamos_prendarios"	3.32597589964433e-05	5.00551955958298e-05	0.000194338278162855
"cseguro_auto"	1.49804397294599e-05	0.000189839140158785	6.47794260542852e-05
"cprestamos_prendarios"	1.18715958305358e-05	2.42353981112395e-05	0.00012955885210857
"ccheques_depositados_rechazados"	1.04556573448696e-05	3.12487827151055e-06	6.47794260542852e-05
