Feature	Gain	Cover	Frequency
mcomisiones	0.00584373075271842	0.0147901020805645	0.0221792200059542
tpaquete1	0.00578440727617613	0.00427625378833247	0.0049866031557011
Master_mconsumospesos	0.00569166182318967	0.00741171691082206	0.00654956832390592
mcomisiones_otras	0.00548350449139257	0.0141084679754857	0.0198719857100327
Master_tconsumos	0.00545758061477374	0.00469573052416746	0.00550759154510271
mpayroll	0.00542051700016086	0.0137389802495306	0.0133224173861268
Visa_cadelantosefectivo	0.0051684454181376	0.000142176003966503	0.000372134563858291
ccajas_transacciones	0.00463434393106288	0.00280160380209622	0.00282822268532301
mautoservicio	0.00454824300435125	0.0157784763714072	0.0163739208097648
Visa_mconsumototal	0.00410561398253344	0.00953180273132458	0.0138434057755284
Master_msaldototal	0.00386471935143713	0.00936439997544806	0.00684727597499256
Master_msaldopesos	0.00377423855430394	0.0106489859227434	0.00811253349211075
ctarjeta_debito_transacciones	0.00370974451405475	0.0124762792782976	0.012206013694552
ccuentas	0.00331538827739783	0.00197500887984463	0.00148853825543316
Master_mconsumototal	0.00323041998776572	0.00722494733816081	0.00550759154510271
mdescubierto_preacordado	0.00314390190719368	0.00358613406710531	0.00379577255135457
mcaja_ahorro	0.00302083505074723	0.00822397058266978	0.00461446859184281
catm_trx	0.00286663155947386	0.00698788124342783	0.00640071449836261
cpayroll_trx	0.00279802369338457	0.00465047892239075	0.00595415302173266
mttarjeta_visa_debitos_automaticos	0.0027865104338719	0.0107099529028305	0.0111640369157487
Visa_mconsumosdolares	0.00273517872265202	0.0102620861253353	0.0125781482584102
matm	0.00265157526649992	0.0113220225890586	0.00967549866031557
mextraccion_autoservicio	0.00257328616642972	0.00967640872673753	0.00922893718368562
ccajas_extracciones	0.00254932037831172	0.00285096918585263	0.00215838047037809
ccuenta_corriente	0.00225939570625889	0.00282692302270731	0.00290264959809467
ccomisiones_mantenimiento	0.00215319885358882	0.00288932434287822	0.00401905328966954
tpaquete2	0.00215127380072765	0.00331752754357134	0.00550759154510271
mprestamos_personales	0.00215003294786922	0.0153766009452972	0.00848466805596904
thomebanking	0.00214073124835015	0.00244357789420266	0.00342363798749628
Master_madelantodolares	0.00204341620132543	0.000307013290997349	0.000223280738314975
mpagomiscuentas	0.00191172204465576	0.00769481951607331	0.00483774933015779
mttarjeta_master_debitos_automaticos	0.00180215535394753	0.00285398839646398	0.00163739208097648
Visa_msaldodolares	0.00179840909774904	0.00635661032390296	0.00394462637689789
ctarjeta_master_transacciones	0.00174976169204368	0.00350797005905608	0.00290264959809467
Master_cadelantosefectivo	0.00170112432660895	0.00070615336390393	0.000893122953259899
ctarjeta_debito	0.00151314045411646	0.00584668844625708	0.00305150342363799
Master_madelantopesos	0.00141710034014837	0.000635933062406204	0.000744269127716582
matm_other	0.00137545715152638	0.0120383346074696	0.00774039892825246
cextraccion_autoservicio	0.00136656221456247	0.00698061707430737	0.00610300684727598
mcuenta_debitos_automaticos	0.00124963846040978	0.0106375542107706	0.00729383745162251
tpaquete9	0.00114560645240989	0.00466577926676376	0.00156296516820482
cpagomiscuentas	0.00106298352575282	0.00596087869032613	0.00364691872581125
Visa_mpagado	0.000982741470427979	0.00573445939882446	0.00364691872581125
cprestamos_personales	0.000953180537896894	0.00292333562138891	0.00245608812146472
ccajas_consultas	0.00084141623752864	0.00320483400219851	0.00163739208097648
catm_trx_other	0.000840142517630262	0.00634588395458004	0.00461446859184281
Visa_madelantopesos	0.000760099846612224	0.000524256676745031	0.000893122953259899
Visa_mpagosdolares	0.000755920963853126	0.00170786250161344	0.00215838047037809
Master_mpagosdolares	0.000739712931307019	0.000907666318296928	0.00111640369157487
ccuenta_debitos_automaticos	0.000693766491277172	0.00319699566695753	0.00282822268532301
ctarjeta_visa_debitos_automaticos	0.000578900158346801	0.00468832442634305	0.00372134563858291
mtransferencias_emitidas	0.000572380671087348	0.00362781594693413	0.00223280738314975
tpaquete7	0.00045675956184849	0.0041356540531538	0.0017862459065198
cseguro_vida	0.000431559222034642	0.00452738372736616	0.00223280738314975
cseguro_accidentes_personales	0.000410408651913609	0.00244162314887096	0.00141411134266151
mpagodeservicios	0.00033369532398116	0.00530454015107446	0.00223280738314975
ctarjeta_master_debitos_automaticos	0.000285947197043564	0.0016245503523936	0.00119083060434653
ctransferencias_emitidas	0.000255139693592682	0.00280683581022827	0.00141411134266151
mforex_sell	0.0002160225489685	0.00613795195198557	0.00223280738314975
cpagodeservicios	0.000108676060304841	0.00316607456341016	0.00119083060434653
ccajas_depositos	9.99533945765876e-05	0.00112451617445638	0.000446561476629949
active_quarter	9.57100818481853e-05	0.000381153835333023	0.000893122953259899
cforex	8.26935171186144e-05	0.00142312341539693	0.000669842214944924
Visa_status	7.34712314248757e-05	0.00116152300879442	0.000595415302173266
Visa_madelantodolares	4.7045976819064e-05	0.000115403089357368	0.000223280738314975
cforex_sell	2.37420624189949e-05	0.000800189732011791	0.000372134563858291
ctarjeta_visa	1.84373026971574e-05	0.000169699420358657	0.000148853825543316
cseguro_vivienda	1.57573972242009e-05	0.0006171124560882	0.000223280738314975
